quartic, euclidean, variable, 201.0, 0.9065151345687334
quartic, euclidean, variable, 221.0, 0.9002786651817279
quartic, euclidean, variable, 241.0, 0.8979275322601183
quartic, euclidean, variable, 261.0, 0.8958800763418356
quartic, euclidean, variable, 281.0, 0.8930095265999848
quartic, euclidean, variable, 301.0, 0.8901212475735288
quartic, euclidean, variable, 321.0, 0.8884563879197078
quartic, euclidean, variable, 341.0, 0.8870220337578701
quartic, euclidean, variable, 361.0, 0.8853868453485513
quartic, euclidean, variable, 381.0, 0.8843278533846507
quartic, euclidean, variable, 401.0, 0.8836318500343918
quartic, euclidean, variable, 421.0, 0.8830819268307778
quartic, euclidean, variable, 441.0, 0.8824132030878958
quartic, euclidean, variable, 461.0, 0.8816050192667811
quartic, euclidean, variable, 481.0, 0.8814213457682788
quartic, euclidean, variable, 501.0, 0.8811069360120204
quartic, euclidean, variable, 521.0, 0.8796442004365403
quartic, euclidean, variable, 541.0, 0.8779027126047032
quartic, chebyshev, variable, 1.0, 0.9682733616035923
quartic, chebyshev, variable, 21.0, 0.9627889714442581
quartic, chebyshev, variable, 41.0, 0.9543623401365896
quartic, chebyshev, variable, 61.0, 0.9424669051034613
quartic, chebyshev, variable, 81.0, 0.9370898583110043
quartic, chebyshev, variable, 101.0, 0.9269407070959403
quartic, chebyshev, variable, 121.0, 0.9207387388742323
quartic, chebyshev, variable, 141.0, 0.9140832027415777
quartic, chebyshev, variable, 161.0, 0.9033308232028321
quartic, chebyshev, variable, 181.0, 0.8970835679021173
quartic, chebyshev, variable, 201.0, 0.8899256520810327
quartic, chebyshev, variable, 221.0, 0.8886669810807203
quartic, chebyshev, variable, 241.0, 0.8863140520430774
quartic, chebyshev, variable, 261.0, 0.8849519779347647
quartic, chebyshev, variable, 281.0, 0.8837709375103653
quartic, chebyshev, variable, 301.0, 0.8818209031811481
quartic, chebyshev, variable, 321.0, 0.8792281574393694
quartic, chebyshev, variable, 341.0, 0.8765194008284868
quartic, chebyshev, variable, 361.0, 0.8749929440479357
quartic, chebyshev, variable, 381.0, 0.8726528139524262
quartic, chebyshev, variable, 401.0, 0.8641953365754306
quartic, chebyshev, variable, 421.0, 0.8616148744858517
quartic, chebyshev, variable, 441.0, 0.8583466067048499
quartic, chebyshev, variable, 461.0, 0.8553254709547282
quartic, chebyshev, variable, 481.0, 0.8536914543084166
quartic, chebyshev, variable, 501.0, 0.8513131541323158
quartic, chebyshev, variable, 521.0, 0.8491539145196817
quartic, chebyshev, variable, 541.0, 0.844724313232314
quartic, manhattan, variable, 1.0, 0.9758322555187351
quartic, manhattan, variable, 21.0, 0.9686761420203518
quartic, manhattan, variable, 41.0, 0.9608277301943774
quartic, manhattan, variable, 61.0, 0.9513185431239306
quartic, manhattan, variable, 81.0, 0.9464491907126963
quartic, manhattan, variable, 101.0, 0.9432962131160618
quartic, manhattan, variable, 121.0, 0.9339737156073445
quartic, manhattan, variable, 141.0, 0.9233580745390964
quartic, manhattan, variable, 161.0, 0.9175222225282077
quartic, manhattan, variable, 181.0, 0.9144156596600427
quartic, manhattan, variable, 201.0, 0.9127210259864842
quartic, manhattan, variable, 221.0, 0.910139803972775
quartic, manhattan, variable, 241.0, 0.9058915660064633
quartic, manhattan, variable, 261.0, 0.9020474104580433
quartic, manhattan, variable, 281.0, 0.8991689640731388
quartic, manhattan, variable, 301.0, 0.8973745247004897
quartic, manhattan, variable, 321.0, 0.8971022497166058
quartic, manhattan, variable, 341.0, 0.8965403645092476
quartic, manhattan, variable, 361.0, 0.8962065802737317
quartic, manhattan, variable, 381.0, 0.89584405060813
quartic, manhattan, variable, 401.0, 0.8946210019863859
quartic, manhattan, variable, 421.0, 0.8939274601220296
quartic, manhattan, variable, 441.0, 0.893469480652253
quartic, manhattan, variable, 461.0, 0.8931574096191409
quartic, manhattan, variable, 481.0, 0.892991214676729
quartic, manhattan, variable, 501.0, 0.8925530275242659
quartic, manhattan, variable, 521.0, 0.8916751128037284
quartic, manhattan, variable, 541.0, 0.8919359937501787
